-4.493	-4.498	-4.5	-4.359	-4.5	-4.498	-4.338	-4.493	-3.7	
-3.506	-4.364	-3.503	-2.867	-4.266	-3.41	-4.449	-3.501	-3.424	
-2.718	-1.065	-2.642	-3.476	-2.201	-2.621	-0.9144	-2.983	-0.8982	
-1.351	-1.402	-1.624	-1.745	-0.839	-3.001	-1.488	-1.188	-0.6994	
-1.301	-0.5508	-1.33	-0.5235	-2.431	-1.622	-0.7235	-1.313	-0.5326	
-2.157	-0.6701	-1.316	-2.444	-0.5671	-0.693	-2.213	-1.442	-1.356	
-1.726	-0.704	-2.362	-1.577	-2.265	-2.349	-2.458	-1.394	-1.475	
-1.866	-2.848	-2.66	-2.594	-1.725	-2.163	-2.979	-3.3	-3.281	
-4.214	-1.577	-1.042	-4.301	-3.677	-1.951	-3.657	-3.346	-4.108	
-2.899	-4.495	-4.499	-4.492	-4.499	-4.447	-4.499	-4.5	-4.5	
