-4.494	-4.5	-4.174	-4.39	-4.5	-4.5	-4.447	-4.375	-4.427	
-3.035	-3.492	-3.872	-3.65	-3.804	-2.917	-2.534	-3.155	-2.662	
-2.481	-2.294	-1.952	-3.458	-1.705	-3.202	-2.793	-3.01	-2.691	
-1.74	-1.794	-1.883	-1.597	-1.354	-1.78	-1.763	-1.611	-1.679	
-0.8308	-1	-0.96	-0.8855	-1.013	-1.436	-1.321	-1.564	-0.8406	
-1.416	-0.995	-1.061	-0.887	-1.19	-0.8795	-1.647	-1.126	-1.085	
-1.102	-1.696	-2.037	-1.802	-1.212	-1.723	-1.894	-1.442	-1.373	
-2.435	-2.463	-2.531	-2.586	-2.409	-2.009	-1.806	-2.929	-2.715	
-3.59	-3.514	-3.511	-3.444	-3.596	-3.524	-2.916	-3.016	-2.888	
-4.5	-4.318	-4.009	-4.5	-4.357	-4.5	-4.5	-4.425	-4.054	
